"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANAPPURAM","EQ","16-Jul-2018","        102.10","        102.70","        103.00","         98.25","         99.70","         98.90","        100.81","    1794545","           180908938.95","      10317","     553390","         30.84"
"MANAPPURAM","EQ","17-Jul-2018","         98.90","         99.50","        101.20","         98.55","         99.65","         99.85","         99.94","    3440313","           343838429.35","      11468","    1954230","         56.80"
"MANAPPURAM","EQ","18-Jul-2018","         99.85","        100.25","        101.80","         99.50","        100.60","        100.15","        100.25","    3358922","           336736956.00","      13463","    1940702","         57.78"
"MANAPPURAM","EQ","19-Jul-2018","        100.15","        100.15","        102.50","         98.00","        100.35","        100.10","        100.56","    3266075","           328452404.10","      11635","     396375","         12.14"
"MANAPPURAM","EQ","20-Jul-2018","        100.10","         99.50","        101.20","         99.10","        100.70","        100.65","        100.51","    1495841","           150352055.75","       4634","     809893","         54.14"
"MANAPPURAM","EQ","23-Jul-2018","        100.65","        100.65","        102.30","         99.70","        102.00","        101.75","        100.97","    1777725","           179497577.60","       9162","     396497","         22.30"
"MANAPPURAM","EQ","24-Jul-2018","        101.75","        102.25","        103.80","        101.65","        103.20","        103.00","        102.79","    1781531","           183127778.85","       7341","     450375","         25.28"
"MANAPPURAM","EQ","25-Jul-2018","        103.00","        103.20","        104.35","        101.00","        101.45","        101.65","        102.22","    1877126","           191881337.05","       8331","     895392","         47.70"
"MANAPPURAM","EQ","26-Jul-2018","        101.65","        101.45","        104.75","        101.20","        104.60","        103.50","        103.30","    4138191","           427489197.75","       9964","    2594546","         62.70"
"MANAPPURAM","EQ","27-Jul-2018","        103.50","        105.10","        105.10","        103.15","        104.00","        104.05","        104.03","    1984391","           206435477.95","       9742","     349401","         17.61"
"MANAPPURAM","EQ","30-Jul-2018","        104.05","        104.00","        106.20","        103.50","        105.05","        105.05","        104.89","    2347609","           246243286.35","      11998","     580392","         24.72"
"MANAPPURAM","EQ","31-Jul-2018","        105.05","        105.10","        106.40","        103.60","        105.15","        105.40","        105.06","    2227259","           233989926.10","       7978","     707340","         31.76"
"MANAPPURAM","EQ","01-Aug-2018","        105.40","        106.50","        107.70","        102.75","        105.20","        105.35","        105.24","    4413278","           464443252.70","      18484","    1656300","         37.53"
"MANAPPURAM","EQ","02-Aug-2018","        105.35","        105.70","        110.75","        104.20","        109.60","        109.45","        108.36","    5684642","           616010876.95","      21902","    1272235","         22.38"
"MANAPPURAM","EQ","03-Aug-2018","        109.45","        110.45","        113.15","        109.55","        112.65","        112.60","        111.28","    6000610","           667760771.90","      29919","    1328173","         22.13"
"MANAPPURAM","EQ","06-Aug-2018","        112.60","        113.00","        113.90","        111.00","        112.30","        112.00","        112.46","    2861827","           321833453.60","      20324","     643473","         22.48"
"MANAPPURAM","EQ","07-Aug-2018","        112.00","        112.20","        112.85","        110.60","        111.05","        111.05","        111.64","    1592828","           177827946.40","       6190","     394468","         24.77"
"MANAPPURAM","EQ","08-Aug-2018","        111.05","        111.05","        112.00","        110.25","        111.45","        111.05","        111.12","    1238052","           137566260.10","       5044","     338577","         27.35"
"MANAPPURAM","EQ","09-Aug-2018","        111.05","        111.90","        114.00","        110.10","        112.85","        112.65","        112.58","    4143001","           466439176.80","      17341","    1126847","         27.20"
"MANAPPURAM","EQ","10-Aug-2018","        112.65","        113.00","        113.30","        106.20","        107.15","        107.25","        108.49","    6990861","           758425451.45","      36185","    2256577","         32.28"
"MANAPPURAM","EQ","13-Aug-2018","        107.25","        106.45","        106.50","        104.15","        105.20","        105.15","        105.25","    2152672","           226563381.20","       9781","     646200","         30.02"
"MANAPPURAM","EQ","14-Aug-2018","        105.15","        104.55","        105.30","        102.50","        103.40","        103.70","        103.54","    2087364","           216118843.80","      16416","     880234","         42.17"
"MANAPPURAM","EQ","16-Aug-2018","        103.70","        102.95","        103.45","        101.60","        102.90","        102.60","        102.48","    2357253","           241566563.00","      19269","    1015672","         43.09"
"MANAPPURAM","EQ","17-Aug-2018","        102.60","        102.70","        103.85","         99.90","        101.10","        100.85","        101.61","    3025466","           307415730.60","      14338","    1174238","         38.81"
"MANAPPURAM","EQ","20-Aug-2018","        100.85","        101.10","        102.35","         99.65","        100.35","        100.05","        100.63","    4513874","           454249854.10","      44145","    2337376","         51.78"
"MANAPPURAM","EQ","21-Aug-2018","        100.05","        100.25","        103.30","        100.25","        102.75","        102.95","        102.18","    3585243","           366356841.00","      14670","    1292360","         36.05"
