Date,Open,High,Low,Close,Adj Close,Volume
2018-06-30,null,null,null,null,null,null
2018-07-31,11359.799805,11760.200195,11234.950195,11680.500000,11680.500000,4923000
2018-08-31,11751.799805,11751.799805,10850.299805,10930.450195,10930.450195,5151800
2018-09-30,10930.900391,11035.650391,10004.549805,10386.599609,10386.599609,7030800
2018-10-31,10441.700195,10922.450195,10341.900391,10876.750000,10876.750000,5318400
2018-11-30,10930.700195,10985.150391,10333.849609,10862.549805,10862.549805,6533100
2018-12-31,10868.849609,10987.450195,10583.650391,10830.950195,10830.950195,6765700
2019-01-31,10851.349609,11118.099609,10585.650391,10792.500000,10792.500000,7237500
2019-02-28,10842.650391,11630.349609,10817.000000,11623.900391,11623.900391,6651500
2019-03-31,11665.200195,11856.150391,11549.099609,11748.150391,11748.150391,6321300
2019-04-30,11725.549805,12041.150391,11108.299805,11922.799805,11922.799805,8386300
2019-05-31,11953.750000,12103.049805,11625.099609,11788.849609,11788.849609,6229700
2019-06-30,11839.900391,11981.750000,11461.450195,11555.900391,11555.900391,2670300
2019-07-10,11536.150391,11593.700195,11475.650391,11498.900391,11498.900391,0
